City,Year,Total PEH,Unsheltered PEH,Population,"PEH Per 100,000","Unsheltered Per 100,000",Latitude,Longitude
El Cajon,2024,800,283,102702,778.9526981,275.554517,32.794773,-116.962524
Encinitas,2024,154,123,60750,253.4979424,202.4691358,33.039139,-117.295425
Escondido,2024,549,401,149401,367.4674199,268.4051646,33.124722,-117.080833
Imperial Beach,2024,20,20,25455,78.57002554,78.57002554,32.5839,-117.1131
La Mesa,2024,67,53,59650,112.3218776,88.85163453,32.7695,-117.0203
Lemon Grove,2024,111,111,26834,413.6543191,413.6543191,32.733451,-117.033702
National City,2024,179,174,54985,325.54333,316.4499409,32.669164,-117.089
Oceanside,2024,522,361,174578,299.0067477,206.78436,33.211666,-117.325836
Poway,2024,1,1,47377,2.110728835,2.110728835,32.969895,-117.038479
San Diego,2024,6783,3489,1375452,493.14698,253.6620689,32.715736,-117.161087
San Marcos,2024,35,35,94808,36.91671589,36.91671589,33.1385,-117.1688
Santee,2024,73,73,58150,125.5374033,125.5374033,32.838383,-116.973915
Vista,2024,271,170,97142,278.9730498,175.0015441,33.193611,-117.241112
